ts,o,h,l,c,v
1759442640,5.0848478139192713e-05,5.0848478139192713e-05,5.058931749992063e-05,5.058931749992063e-05,1.9409679850746662
1759442520,5.058429755764681e-05,5.0848478139192713e-05,5.058429755764681e-05,5.0848478139192713e-05,1.0029489846836424
1759442460,5.027490240124691e-05,5.058429755764681e-05,5.027490240124691e-05,5.058429755764681e-05,46.65156204784935
1759442400,5.079433732639743e-05,5.079433732639743e-05,5.027490240124691e-05,5.027490240124691e-05,74.81396490133423
1759442340,5.4476555896800134e-05,5.4476555896800134e-05,5.079433732639743e-05,5.079433732639743e-05,167.43128104992783
1759442280,5.645209282323056e-05,5.6578927052636425e-05,5.4476555896800134e-05,5.4476555896800134e-05,343.536486572878
1759442160,5.635929946326709e-05,5.664699661219976e-05,5.635929946326709e-05,5.645209282323056e-05,36.577550128398144
1759442100,5.941852877843561e-05,5.941852877843561e-05,5.635929946326709e-05,5.635929946326709e-05,135.1512803231752
1759441980,6.849702655059631e-05,6.849702655059631e-05,5.941852877843561e-05,5.941852877843561e-05,891.3518147047228
1759441920,6.936131227762435e-05,6.936131227762435e-05,6.849702655059631e-05,6.849702655059631e-05,19.655491606975957
1759441860,7.003762343608456e-05,7.022672323448527e-05,6.936131227762435e-05,6.936131227762435e-05,131.60549954612557
1759441740,6.987201535702556e-05,7.003762343608456e-05,6.987201535702556e-05,7.003762343608456e-05,97.34151222240206
1759441620,6.71073623910792e-05,7.079277299019163e-05,6.71073623910792e-05,6.987201535702556e-05,258.1019866041936
1759441500,6.258277525210244e-05,6.964284443825903e-05,6.258277525210244e-05,6.71073623910792e-05,700.6296204219717
1759441440,6.201489519684794e-05,6.258277525210244e-05,6.201489519684794e-05,6.258277525210244e-05,89.28054306362611
1759441380,6.218208295747786e-05,6.218208295747786e-05,6.201489519684794e-05,6.201489519684794e-05,23.522113170714242
1759441320,6.0938246425304545e-05,6.246401978446193e-05,6.0938246425304545e-05,6.218208295747786e-05,143.803382907708
1759441260,6.110004930730025e-05,6.110004930730025e-05,6.0938246425304545e-05,6.0938246425304545e-05,23.24060347045671
1759441200,6.084928908654556e-05,6.12774598078082e-05,6.084928908654556e-05,6.110004930730025e-05,25.5599169656474
1759441140,6.009983011650358e-05,6.0982479232353027e-05,6.009983011650358e-05,6.084928908654556e-05,87.09312903711394
1759441080,5.9980025030027535e-05,6.027443113989386e-05,5.9897446497977344e-05,6.009983011650358e-05,35.821285976416945
1759441020,5.864595844673064e-05,6.029517352316862e-05,5.864595844673064e-05,5.9980025030027535e-05,52.419422254450325
1759440960,5.720473051181618e-05,5.864595844673064e-05,5.720473051181618e-05,5.864595844673064e-05,229.17922390704243
1759440900,5.711677736606595e-05,5.720473051181618e-05,5.711677736606595e-05,5.720473051181618e-05,2.763874888467445
1759440840,5.779476530154602e-05,5.779476530154602e-05,5.711677736606595e-05,5.711677736606595e-05,18.292119012973675
1759440780,5.8375037916070304e-05,5.860375529686616e-05,5.779476530154602e-05,5.779476530154602e-05,125.82173604696789
1759440720,6.223554617972143e-05,6.223554617972143e-05,5.8375037916070304e-05,5.8375037916070304e-05,318.75706621417686
