chain,token,time,entry_mc
SOL,8NneNgCVZQ9i6MK2R7TRgYWv8QceCoeaR2NFWrGxpump,20:48,47.18k
SOL,FLAPDjcAgUBN9QQJXui7mZFZrj6Yt7CmRD3wjHcSpump,19:35,82.06k
SOL,5EBZ2nexAYnrBBxrr4asLTQf6T2HaHd152mus51oQ1Sb,19:27,73.75k
SOL,76aVuZe4VRLiFRgu6WKe8vMFrmp6rs6xBF4AjLY2pump,16:09,162.91k
SOL,tGjC2TpwdHeg7i1aqKouxWn5EtwMo7dJftge751pump,15:42,73.44k
SOL,BcL9MF1TkkeAENfKTaFtS52JwpD254qjp4HacaTmpump,12:18,47.82k
SOL,HRSJDD4SQDMS9VF5duGAF2cWKu2JDU9tU5B4yuEspump,11:43,75.78k
SOL,2xpKQG5XjuLYCFexmbTGKpLeYifP3YjvWpNa5r8Xpump,11:23,79.25k
SOL,Hya9DV1rkxnV8zxVLzjLDH4fHA2aCNBq7cLKG3Bqpump,10:17,76.74k
SOL,Cb2Nm3gY1vcHGRrpmPidaYZLFpAZpAqoGCgLGCTipump,10:03,26.90k
SOL,ogtuH5sfSLLHUFDjVUCyx3BCnYsyk6vbKLfVpjypump,07:37,113.97k
